addr,IS_PONZI
0x0006157838d5a6b33ab66588a6a693a57c869999,0
0x001a589dda0d6be37632925eaf1256986b2c6ad0,0
0x00674045bb7c17f0aa1cde34780d6c51af548728,0
0x006bea43baa3f7a6f765f14f10a1a1b08334ef45,0
0x00712a531e207ad77e42586fb81e9fb8f68f0a7d,0
0x00a9f7d093c46d95f0318e4a6ffc6ed68f73044c,0
0x00c85c226a7899ae3c87ad2e8684d352dc83f180,0
0x00e4dd9c3c32cbb2b6533abd0c8f6a33965e81e9,0
0x00eb84e7ca4ad6dbbef240056bc904003029a4cd,0
0x00f90986cdd79744409f8a3c7747064afa4473b5,0
0x010583963f3ae4929253975ebd6bab0066870828,0
0x011585ba96aa16b803e239defd807465073b883c,0
0x011d9dfb4681f2d2245bbb04edd6a9eedf361e5c,0
0x012233b3c8177f0778d910ed88170b82de3bfe57,0
0x013fbaed9c80cc4422ff50d71f4dc622bc7c8ae2,0
0x015a06a433353f8db634df4eddf0c109882a15ab,0
0x0167ea36024d646ee38062cd07f041e1e1d3a89a,0
0x0174312e4aef436606ffdeb4d05d22fb68f36ba0,0
0x017a5d8d82afaa22bc29d75013d6ff3656e90851,0
0x019d7e5ae8d2ba9a292244311dc7355058ab1b08,0
0x01a7018e6d1fde8a68d12f59b6532fb523b6259d,0
0x01afc37f4f85babc47c0e2d0eababc7fb49793c8,0
0x01b6f09b54d246670627a009a7dc85bd54354eed,0
0x01be2862387d46ef9a7c2145ee74961d62aa4154,0
0x01bf88ff18bd3c3fa1c065888916b36ba68ef730,0
0x01bfbb9b1a2abe32ceb0a9f2291e5d7e36e38b20,0
0x01d9f4d104668cdc0b6d13c45dff5e15d58d8f28,0
0x020752ae1ff736e92d128b1d3ce351aab70fe2dc,0
0x022125b1ee6de357ad437807c1e0ce4daa6c82b3,0
0x02268047f5c77a6a533619773474d1a6e510443f,0
0x0226f84b243ec25e56844e436eec73711c613fd5,0
0x022de2e28a61f9d197f8966dd0fc8f7ddf70f2dc,0
0x022f41a91cb30d6a20ffcfde3f84be6c1fa70d60,0
0x0230cfc895646d34538ae5b684d76bf40a8b8b89,0
0x023c601fc2f0943ff9f2c88f22b23e95c666a174,0
0x0248f089a622b74cebaa62573605af9a44966bf1,0
0x025abad9e518516fdaafbdcdb9701b37fb7ef0fa,0
0x0290ea3c728981725689187763f6c63a68e192b8,0
0x0297c3970da02bb88a411d3665e0e2ecfad20206,0
0x02b97cca6d6a5227e464b2a60ee1a580ea4f7da9,0
0x02e01e9a73ed2cb24b32628c935256e455b0a078,0
0x02e2c4e6b91734f1f3d2cf4bc4ec4db4a51bf04f,0
0x02ed9b30e7fb4d4e06495c96810aeb2fac8b2989,0
0x0312855bb6e548578a36fa8de63b8f0d3d7d7dc2,0
0x0318179601a70085aeb488f178b081295b65ecc9,0
0x03209bde47da583547c17c47e7ca74bfa3dfb404,0
0x032747313c4e914b5fce356ab8dc4df551972dcd,0
0x033d46d15ad9b5653cbe61be97371023acb11f94,0
0x0348b55abd6e1a99c6ebc972a6a4582ec0bceb5c,0
0x03563574b3839e2cdd6281d8741497ba82fd6739,0
0x035a401972f228b58dcae76bf318b54ed036d680,0
0x036407f23d5e1c1486f7488332cf54bf06e5f09f,0
0x03698a26a6af930c76ee74a66eed6649fc511e6f,0
0x03806ce5ef69bd9780edfb04c29da1f23db96294,0
0x03834852f2889ddf286104bc771371c764be1fc6,0
